Average Reservoir Pressure (psi),Cumulative Gas (CO2) Injection (SCF),Cumulative Gas (CO2) Production (SCF),Gas Injection Rate (SCF/day),Water Injection Rate (bbl/day),Cumulative Water Injection (bbl),Cumulative Water Production (bbl),Average Temperature (F),Gas-Oil Ratio SC (SCF/bbl),Water Cut (%),Cumulative Oil Production (bbl),Oil Recovery Factor (%),Cumulative CO2 Stored (SCF)
3501.934815,0,204.6769409,0,0,0,0,186,253.5506287,0,157.160965,0.000273783,0
3501.916992,0,716.3693848,0,0,0,0,186,253.5506287,0,550.0633545,0.000958239,0
3501.911621,0,1995.600464,0,0,0,0,186,253.5506287,0,1532.319336,0.00266938,0
3501.911377,0,5193.678223,0,0,0,0,186,253.5506287,0,3987.959473,0.006947233,0
3501.909668,0,6344.986328,0,0,0,0,186,253.5506287,0,4871.989746,0.00848726,0
3501.835693,0,11148.87793,0,0,0,0,186,253.5506897,0,8560.639648,0.01491308,0
3501.83374,0,23158.60547,0,0,0,0,186,253.5506744,0,17782.26367,0.030977629,0
3501.833252,0,29220.6582,0,0,0,0,186,253.5506744,0,22436.98828,0.039086401,0
3501.82959,0,37406.42969,0,0,0,0,186,253.5506744,0,28722.4043,0.050035924,0
3501.829346,0,51601.44141,0,0,0,0,186,253.5506744,0,39621.99219,0.069023572,0
3501.783691,0,63005.37891,0,0,0,0,186,253.5507202,0,48378.44531,0.084277771,0
3501.776856,0,86953.64063,0,0,0,0,186,253.5507202,0,60237.22266,0.104936376,0
3501.776611,0,104136.2188,0,0,0,0,186,253.5507202,0,66766.99219,0.116311587,0
3501.769775,0,122417.8281,0,0,0,0,186,253.5507202,0,78394.63281,0.136567533,0
3501.769287,0,142128.0469,0,0,0,0,186,253.5506897,0,93998.00781,0.163749427,0
3501.768555,0,158775.375,0,0,0,0,186,253.5506897,0,105534.0313,0.183845773,0
3501.768311,0,174538.1875,0,0,0,0,186,253.5506897,0,121915.0078,0.212382287,0
3501.79419,0,187152.0781,0,0,0,0,186,253.5506439,0,132019.4688,0.22998479,0
3501.794922,0,208720.1406,0,0,0,0,186,253.5506287,0,143704,0.250339866,0
3501.747559,0,224275.2344,0,0,0,0,186,253.5506287,0,160633.8438,0.279832512,0
3501.745606,0,235642.1406,0,0,0,0,186,253.5506134,0,172209,0.299997061,0
3501.8125,0,247200.1406,0,0,0,0,186,253.5505219,0,181413.6094,0.316031963,0
3501.812988,0,259641.7344,0,0,0,0,186,253.5505066,0,189812,0.3306624,0
3501.803955,0,271621.25,0,0,0,0,186,253.5504608,0,199738.7188,0.347955257,0
3501.802734,0,285306.4688,0,0,0,0,186,253.550415,0,208564,0.363329351,0
3501.790527,0,299397,0,0,0,0,186,253.5503693,0,219020.0313,0.381544322,0
3501.789795,0,310795.4375,0,0,0,0,186,253.5503082,0,229892.0156,0.400483847,0
3501.811279,0,320646.6875,0,0,0,0,186,253.5502472,0,238548.6875,0.415564209,0
3501.811279,0,334977.9375,0,0,0,0,186,253.5502014,0,246209.0156,0.428908914,0
3501.786377,0,348587.375,0,0,0,0,186,253.5501404,0,257126.8125,0.447928309,0
3501.785645,0,361420.1875,0,0,0,0,186,253.5500641,0,267664,0.466284633,0
3501.796387,0,373277.3125,0,0,0,0,186,253.5499878,0,277527.875,0.483467996,0
3501.796143,0,387089.6875,0,0,0,0,186,253.549942,0,286623,0.499312192,0
3501.786377,0,399271.875,0,0,0,0,186,253.5498505,0,297254,0.517831981,0
3501.785645,0,414046.5625,0,0,0,0,186,253.54982,0,306584,0.534085274,0
3501.77832,0,427931.9688,0,0,0,0,186,253.5497437,0,317948.125,0.553882182,0
3501.777344,0,441364.75,0,0,0,0,186,253.5496826,0,328592,0.572424412,0
3501.78418,0,453219.0313,0,0,0,0,186,253.5496216,0,338904.9063,0.590390027,0
3501.783447,0,466369.25,0,0,0,0,186,253.5496063,0,348010,0.606251538,0
3501.782471,0,479081.5,0,0,0,0,186,253.54953,0,358103.1563,0.623834372,0
3501.781982,0,494134.6875,0,0,0,0,186,253.5495148,0,367870,0.640848696,0
3501.76709,0,508312.7813,0,0,0,0,186,253.5494995,0,379425.4688,0.660978913,0
3501.766357,0,520711.6563,0,0,0,0,186,253.5494537,0,390317,0.679952502,0
3501.784424,0,530047,0,0,0,0,186,253.549408,0,399838.6875,0.696539819,0
3501.78418,0,544905.75,0,0,0,0,186,253.5493927,0,407007,0.70902735,0
3501.762207,0,559593.1875,0,0,0,0,186,253.5493927,0,418418.4375,0.728906751,0
3501.760498,0,572240.4375,0,0,0,0,186,253.5493622,0,429695.9688,0.748552799,0
3501.774902,0,583996.875,0,0,0,0,186,253.5493164,0,439408.7813,0.765472949,0
3501.774658,0,599284.4375,0,0,0,0,186,253.5493012,0,448435.9688,0.781198859,0
3501.751709,0,614899.875,0,0,0,0,186,253.5493164,0,460175.5,0.80164969,0
3501.75,0,618099.6875,0,0,0,0,186,253.5493164,0,472167,0.822539449,0
3501.849609,0,620882.25,0,0,0,0,186,253.5492096,0,474624.1563,0.826819956,0
3501.853516,0,630150.75,0,0,0,0,186,253.5492096,0,476760.9688,0.830542445,0
